question,answer,A,B,C,D
What animal did Alec Baldwin voice in the 2001 comedy movie Cats  Dogs?,Dog,Mouse,Guinea pig,Dog,Cat
In what 2006 spy movie did Alec Baldwin star as FBI Agent Sam Murach?,The Good Shepherd,The Last Shot,The Good Shepherd,Mercury Rising,State and Main
Tom Cruise received his first Academy Award nomination for his outstanding performance in this 1989 movie.,Born on the Fourth of July,Rain Man,Born on the Fourth of July,A Few Good Men,Top Gun
In what movie did Tom Cruise portray Dr. Bill Harford?,Eyes Wide Shut,Minority Report,Magnolia,Eyes Wide Shut,The Color of Money
Tom Cruises performance in the 2005 movie War of the Worlds brought him a nomination for this award.,Golden Raspberry Award,Golden Globe Award,All of these,Golden Raspberry Award,Academy Award
"What is the occupation of Jerry Maguire, portrayed  by Tom Cruise in the 1996 movie Jerry Maguire?",Sports agent,Sports agent,Rugby player,Baseball player,American football coach
"What is the offensive title of the book written by Frank T.J. Mackey, played by Tom Cruise, in the 1999 movie Magnolia?",Seduce And Destroy,How To Get Laid For Less Money,She Is Only After Your Wallet,The Superior Sex,Seduce And Destroy
"How does Tom Cruises character, David Aames, get disfigured in the 2001 movie Vanilla Sky?",In a car crash,He was burned with acid as a child.,None of these,In a car crash,His ex-girlfriend cuts his face out of jealousy.
What is the name of the character portrayed by Tom Cruise in the Mission: Impossible movie series?,Ethan Hunt,Ethan Hawke,Ray Ferrier,Jim Phelps,Ethan Hunt
What is the title of the 2003 movie in which Tom Cruise starred as war veteran Captain Nathan Algren?,The Last Samurai,The Last Warrior,The Last Soldier,The Last Ninja,The Last Samurai
In which 1992 drama movie did Tom Cruise star opposite Jack Nicholson and Demi Moore?,A Few Good Men,Mission: Impossible II,A Few Good Men,Top Gun,Born on the Fourth of July
What is the nickname of Tom Cruises character in the 1986 movie Top Gun?,Maverick,Iceman,Maverick,Cougar,Viper
"Duke Ellington was born on April 29, 1899 in which city?","Washington, D.C.","Baltimore, Maryland","Washington, D.C.","Atlanta, Georgia",New York City
"This book, published in 1973, is Duke Ellingtons autobiography.",Music Is My Mistress,Ellington:In A Mellow Mood,Music Is My Mistress,Sir Duke,The Duke From Baltimore
"According to Duke Ellingtons autobiography, his childhood dream was what?",To be a baseball player,To play the piano,To play the violin,To be an actor,To be a baseball player
Jazz musician Duke Ellington attended which high school?,Armstrong Manual Training School,Peebles High School,Armstrong Manual Training School,Grand Valley High School,West Union High School
"In 1917, Duke Ellington formed his first music group, named what?",The Dukes Serenaders,The Dukes Serenaders,The Orioles,The Moochers,The Washingtonians
"In 1927, Duke Ellington and his band, The Washingtonians were offered a permanent job at which famous Harlem club?",The Cotton Club,The Hollywood Club,The Cotton Club,The Savoy Ballroom,The Apollo
"This composer and pianist wrote Take the A Train, which became the signature tune of Duke Ellington.",Billy Strayhorn,Fats Navarro,Fats Waller,Billy Strayhorn,Billie Holiday
Which of these is not a famous piece by Duke Ellington?,One OClock Jump,One OClock Jump,Mood Indigo,Such Sweet Thunder,Sophisticated Lady
Which of these prominent musicians did not play in Duke Ellingtons orchestra?,Freddie Green,Sonny Greer,Ray Willis Nance,Harry Carney,Freddie Green
"Which statement, concerning the awards and honors received by Duke Ellington, is true?",All of these are true,He was awarded the Legion of Honor by France in 1973,He was awarded the Presidential Medal of Freedom,A 22 cent commemorative stamp with his name and picture was issued in 1986,All of these are true
When was Gary Cooper born?,1901,1931,1941,1901,1921
From what disease did Gary Cooper die?,Cancer,Cancer,Heart attack,Malaria,Liver infection
In which Hall of Fame was Gary Cooper inducted?,National Cowboy and Western Heritage Museum,The ASCAP Hal of Fame,The Screen Actors Guild  Hall of Fame,The National Hall of Great Americans,National Cowboy and Western Heritage Museum
How did Frank James Cooper become Gary Cooper?,"His agent was born in Gary, Indiana.",He was given that name by Ron Howard.,His football coach at UCLA gave him the name.,"Spencer Tracy said, He looks like a Gary.","His agent was born in Gary, Indiana."
How many times was Gary Cooper married?,Once to a woman not in show  business,"Three times: to Marlene Dietrich, Patricia Neal, and Gloria Swanson",Once to a woman not in show  business,"Four times: to Clara Bow, Evelyn Brent, Carole Lombard, and Ingrid Bergman",Never
Which two movies earned Gary Cooper Academy Awards?,Sergeant York and High Noon,Mr. Deeds Goes to Town and Today We Live,A Farewell to Arms and For Whom the Bells Toll,The Plainsman and The Westerner,Sergeant York and High Noon
Gary Cooper was present when an escalator was put into a movie theater for the first time.,True,True,False,,
Gary Cooper is referenced in an Irving Berlin song.,True,False,True,,
Gary Cooper starred in A Farewell to Arms and For Whom the Bell Tolls. What do these movies have  in common?,They are based on novels by Ernest  Hemingway.,They are based on novels by Ernest  Hemingway.,They both co-starred John Wayne.,They both were directed by Fritz Lang.,They are based on novels by John Steinbeck.
1939 has often been described as a banner year for movies. Which of these 1939 movies starred Gary Cooper?,Beau Geste,The Wizard of Oz,Beau Geste,Stagecoach,Gone With the Wind
"Although John Wayne and Gary Cooper were good friends, John Wayne hated this Gary Cooper role.",Will Kane in High Noon,Cole Harden in The Westerner,Will Kane in High Noon,Casanova Brown in Casanova Brown,Ashley Wilkes in Gone With the Wind
Gary Cooper is famous for his portrayal of this athlete.,Lou Gehrig,Lou Gehrig,Jim Thorpe,Alvin York,Babe Ruth
Gary Cooper appeared at the House Un-American Activities Committee in the 1950s. Which best describes his testimony?,He said he feared Communism but did not mention any names.,He named ten writers who were Communists.,He said he feared Communism but did not mention any names.,He said there was no danger from Communism in Hollywood.,He named ten people in Hollywood who were Communists.
Gary Cooper was a man of many hobbies. Which of these was one of them?,taxidermy,taxidermy,chess,poetry,stamp collecting
"Before becoming a star, Gary Cooper was a guide in this US Park.",Yosemite,Grand Teton,Yellowstone,Yosemite,Mount Rushmore
Find the incorrect statement concerning Gary Cooper.,John Wayne learned to ride a horse from Gary Cooper.,Tony Soprano often referred to Gary Cooper as the strong silent  type.,A poster of Cooper was used to help win free elections in Poland.,John Wayne learned to ride a horse from Gary Cooper.,Gary Coopers daughter once spat at the actress Patricia Neal.
"By some quirk of  fate, Gary Cooper was distantly related to this actress.",Brooke Shields,Brooke Shields,Holly Hunter,Kyra Sedgewick,Michelle Pfeiffer
"Five individuals were the regular hosts of this radio theatre program, that ran from 1979-1981. Richard Widmark was the Friday night adventure host.",Sears Radio Theatre,Wells Fargo Theatre,RKO,Wagon Train Theatre,Sears Radio Theatre
Actor Richard Widmark nearly lost an important part because his ears were too big.,False,False,True,,
Richard Widmarks daughter was married to this baseball great.,Sandy Koufax,Roger Maris,Sandy Koufax,Joe Dimaggio,Mark McGuire
"When Richard Widmark married his second wife, he became the step-father to Amy. Amy was the daughter of Susan Blanchard and this actor legend.",Henry Fonda,Fred MacMurray,Henry Fonda,Glen Ford,James Stewart
Why was Richard Widmark unable to serve in the military during WWII?,perforated eardrum,flat feet,perforated eardrum,asthma,poor eyesight
"Richard Widmark starred in this movie in the 70s, that was an adaptation of a book by Agatha Christie.",Murder on The Orient Express,"And, Then There Were None","One Little, Two Little, Three Little Indians",Darkness Inconvenienced,Murder on The Orient Express
"Richard Widmark appeared on I Love Lucy as himself, in an episode in which Lucy pretends to be infatuated with Widmark.",True,True,False,,
In what eastern state was actor Ron Perlman born?,New York,Florida,Virginia,Maryland,New York
Ron Perlman has done s a lot of voice over work in cartoons and games. Which of the following is not one of his projects?,Superman,Lord Terrence Hood,Jagger Valance,Clayface,Superman
"In 2008, Ron Perlman became the oldest actor to play a main superhero.",True,False,True,,
Ron Perlman played Bernie Marx back in the 70s on this daytime soap opera.,Ryans Hope,Knots Landing,Days of Our Lives,General Hospital,Ryans Hope
What movie starring Ron Perlman is this exchange from?,Hellboy,Hellboy,Beauty and the Beast,Alien,The Last Super
"Revolutions studio wanted someone like Vin Diesel to play the part of Hellboy, but it was eventually given to Ron Perlman.",True,False,True,,
Ron Perlman did not win an Emmy for the TV series Beauty and the Beast.,True,True,False,,
In which of these films did Ron Perlman co-star with Wesley Snipes?,Blade II,Blade II,Blade III,Art of War,Aliens
"Microsoft co-founder William Henry Gates III, a.k.a. Bill Gates, was born on October 28, 1955 in this US state.",Washington,Arizona,Kentucky,Washington,Delaware
"TV host and actress Oprah Winfrey was born on January 29, 1954 in this US state.",Mississippi,Minnesota,Michigan,Mississippi,Missouri
"In what country was Academy Award winner Robert De Niro born on August 17, 1943?",the United States,Germany,the United States,Australia,Italy
"Writer Agatha Christie, who became the best-selling author of all time, was born in this country on September 15, 1890.",England,Wales,Ireland,England,Scotland
"Soccer star David Beckham was born on May 2, 1975 in what English city?",London,Birmingham,London,Manchester,Liverpool
"Singer and songwriter Celine Dion was born on March 30, 1968 in this country.",Canada,Belgium,France,the United States,Canada
"The 44th President of the United States Barack Obama was born on August 4, 1961 in this US state.",Hawaii,California,Hawaii,Florida,Texas
"Legendary actress Greta Garbo was born on September 18, 1905 in this European country.",Sweden,Sweden,Switzerland,Finland,Denmark
"In what US state was music legend Ray Charles born on September 23, 1930?",Georgia,Colorado,Maryland,Georgia,Florida
"Hollywood actor Omar Sharif was born on April 10, 1932 in this African country.",Egypt,Egypt,Morocco,Libya,South Africa
This Baldwin met his future wife on the set of The Marrying Man in 1991.,Alec,Alec,William,Daniel,Stephen
"Which Baldwin was born May 12, 1966, making him the youngest of the brothers?",Stephen,William,Alec,Daniel,Stephen
In 1993 this Baldwin was cast in the Baltimore-based cop show Homicide: Life on the Street.,Daniel,Alec,Stephen,WIlliam,Daniel
"This Baldwin appeared in the 1990 movie Flatliners, as Joe Hurley.",William,Daniel,Stephen,Alec,William
Alec Baldwin starred in the 1995 movie The Usual Suspects.,False,False,True,,
Three of the four Baldwin brothers appeared in the 1989 movie Born On The Fourth of July.,True,False,True,,
Which Baldwin starred in the 1996 movie Mulholland Falls with Nick Nolte?,Daniel,William,Daniel,Stephen,Alec
There are no sisters to the Baldwin brothers.,False,False,True,,
"In 1960s The Alamo, John Wayne played this famous frontiersman.",Colonel Davy Crockett,Colonel William Travis,Colonel Jim Bowe,Colonel Davy Crockett,General Sam Houston
Julia Roberts was the first actress to appear on the cover of this popular magazine.,Vogue,Elle,Cosmopolitan,Harpers Bazaar,Vogue
What was the occupation of Julia Roberts parents when they first met?,Actors and playwrights,Actors and playwrights,Professional dancers,Fashion designers,Butchers
What musical instrument did Julia Roberts learn to play when she was a student?,Clarinet,Flute,Trombone,Clarinet,Violin
What was Julia Roberts dream job when she was a little girl?,Veterinarian,Model,Astronaut,Singer,Veterinarian
"In what movie, released in 1989, did Julia Roberts make her acting debut?",Blood Red,Mystic Pizza,Lonely Traveler,Blood Red,Blue Sunrise
What disease did Julia Roberts character have in the 1989 dramedy movie Steel Magnolias?,Diabetes,Diabetes,Cancer,Tuberculosis,AIDS
"What name did Julia Roberts give to her first-born daughter who was born on November 28, 2004, together with her fraternal twin brother?",Hazel,Ginger,Hazel,Apple,Coco
